id	name	alt_accession	tax_id	pathways	aliases	topology
1	Uniprot:A0A0A0MR43		taxid:9606	Receptor tyrosine kinase		
2	Uniprot:A0A1W2PNW4		taxid:9606			
3	Uniprot:P49765		taxid:9606	Receptor tyrosine kinase		Ligand
4	Uniprot:P06756		taxid:9606			
5	Uniprot:P05106		taxid:9606			
6	Uniprot:E7ERK4		taxid:9606			
7	Uniprot:P62993		taxid:9606	Innate immune pathways|Receptor tyrosine kinase|TNF pathway		Endocytosis related|Scaffold
8	Uniprot:Q5T181		taxid:9606	Innate immune pathways		
9	Uniprot:Q16665		taxid:9606	Notch|Receptor tyrosine kinase		Co-factor|Transcription factor
10	Uniprot:P46108		taxid:9606	Innate immune pathways|Receptor tyrosine kinase|T-cell receptor		Co-factor|Scaffold
11	Uniprot:P46109		taxid:9606	Innate immune pathways|Receptor tyrosine kinase|T-cell receptor		Co-factor|Endocytosis related
12	Uniprot:P35916		taxid:9606	Notch		Receptor
13	Uniprot:P01127		taxid:9606	Receptor tyrosine kinase		Ligand
14	Uniprot:P09619		taxid:9606	Receptor tyrosine kinase		Co-factor|Scaffold
15	Uniprot:E7EWI4		taxid:9606			
16	Uniprot:P43405		taxid:9606	B-cell receptor|TGF		Mediator|Scaffold|Transcription factor
17	Uniprot:Q08722		taxid:9606			
18	Uniprot:A8MZG1		taxid:9606			
19	Uniprot:P35968		taxid:9606	Receptor tyrosine kinase		Receptor
20	Uniprot:C9JVV5		taxid:9606			
21	Uniprot:H7C4K3		taxid:9606			
22	Uniprot:P08648		taxid:9606			
23	Uniprot:Q92793		taxid:9606	JAK/STAT		Co-factor
24	Uniprot:F5H6I0		taxid:9606			
25	Uniprot:P29965		taxid:9606	Innate immune pathways		
26	Uniprot:P25942		taxid:9606	Innate immune pathways|Toll-like receptor		
27	Uniprot:P20963		taxid:9606	T-cell receptor		
28	Uniprot:E9PAP0		taxid:9606			
29	Uniprot:F5GYA9		taxid:9606			
30	Uniprot:R4GMM4		taxid:9606			
31	Uniprot:A0A087WZV5		taxid:9606			
32	Uniprot:H3BS59		taxid:9606			
33	Uniprot:A0A087X006		taxid:9606			
34	Uniprot:H7C358		taxid:9606			
35	Uniprot:P61160		taxid:9606	TGF		Receptor
36	Uniprot:F8WDR7		taxid:9606			
37	Uniprot:C9JTV5		taxid:9606			
38	Uniprot:O15145		taxid:9606			
39	Uniprot:P59998		taxid:9606			
40	Uniprot:O15511		taxid:9606			
41	Uniprot:Q15642		taxid:9606			Scaffold
42	Uniprot:B8ZZ90		taxid:9606			
43	Uniprot:P35579		taxid:9606			
44	Uniprot:P05362		taxid:9606			
45	Uniprot:Q9Y490		taxid:9606			
46	Uniprot:P06729		taxid:9606			
47	Uniprot:P19256		taxid:9606			
48	Uniprot:X5D2U8		taxid:9606	Receptor tyrosine kinase		
49	Uniprot:Q86WV8		taxid:9606	Receptor tyrosine kinase		
50	Uniprot:H3BPT1		taxid:9606	Receptor tyrosine kinase		
51	Uniprot:Q8TB45		taxid:9606			
52	Uniprot:I3L436		taxid:9606	Receptor tyrosine kinase		
53	Uniprot:B1AKP8		taxid:9606	Receptor tyrosine kinase		
54	Uniprot:P10747		taxid:9606	T-cell receptor		
55	Uniprot:P43403		taxid:9606	Receptor tyrosine kinase|T-cell receptor		Mediator|Scaffold
56	Uniprot:Q9Y6K9		taxid:9606	B-cell receptor|T-cell receptor|Toll-like receptor		
57	Uniprot:K7ERX9		taxid:9606	Receptor tyrosine kinase		
58	Uniprot:E9PKV4		taxid:9606	Toll-like receptor		
59	Uniprot:A0A087WWW9		taxid:9606			
60	Uniprot:P78560		taxid:9606			
61	Uniprot:P21333		taxid:9606	JAK/STAT|Receptor tyrosine kinase		Co-factor
62	Uniprot:Q99558		taxid:9606	Innate immune pathways|Receptor tyrosine kinase		
63	Uniprot:P20749		taxid:9606			
64	Uniprot:E2QRC0		taxid:9606			
65	Uniprot:Q9UDY8		taxid:9606	B-cell receptor|T-cell receptor		
66	Uniprot:Q13588		taxid:9606	Receptor tyrosine kinase		Mediator|Scaffold
67	Uniprot:A0A1W2PQT7		taxid:9606			
68	Uniprot:P19174		taxid:9606	JAK/STAT|Receptor tyrosine kinase|T-cell receptor		Mediator|Scaffold
